"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Dodge","Charger","Blue","16849","47000km","7/2016","Automatic","287 kW (390 hp)","5700ccm","Petrol","4x4",NA,"Germany","https://carvago.com/car/52455650/dodge-charger-287-kw",2022-11-05
"Volkswagen","T-Roc","White","35749","7866km","5/2022","Manual","110 kW (150 hp)","14980ccm","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-11-05
"Toyota","Land Cruiser","Grey interior","34099","0km","8/2022","Manual","96 kW (131 hp)","4200ccm","Diesel","10 l/100km","4x4","Belgium","https://carvago.com/car/52392857/toyota-land-cruiser-96-kw",2022-11-05
"Chevrolet","Matiz","Black","2399","90000km","7/2009","Manual","38 kW (52 hp)","796ccm","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/52456325/chevrolet-matiz-0-8-s-38-kw",2022-11-05
"Volkswagen","Golf","Blue","19949","96726km","10/2018","Manual","85 kW (116 hp)","1598ccm","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/52574898/volkswagen-golf-1-6-tdi-85-kw",2022-11-05
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534ccm","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-11-05
"Dacia","Duster","Red","20599","22399km","1/2022","Manual","85 kW (116 hp)","4161ccm","Diesel","6 l/100km","4x2","Belgium","https://carvago.com/car/52502965/dacia-duster-dci-115-2wd-prestige-85-kw",2022-11-05
"Skoda","Kodiaq","Grey","22499","37000km","2/2021","Automatic","110 kW (150 hp)","1968ccm","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/52568391/skoda-kodiaq-2-0-tdi-4x4-dsg-110-kw",2022-11-05
"Peugeot","3008","Red","4999","146400km","1/2011","Manual","82 kW (111 hp)","1560ccm","Diesel","5.2 l/100km","4x2","Czech Republic","https://carvago.com/car/52072799/peugeot-3008-hdi-fap-110-82-kw",2022-11-05
"Toyota","Land Cruiser","Brown interior","58449","20km","7/2022","Manual","200 kW (272 hp)","4000ccm","Petrol","14 l/100km","4x4","Germany","https://carvago.com/car/51771135/toyota-land-cruiser-4-0-v6-200-kw",2022-11-05
"Volkswagen","Tiguan","White","57349","2500km","10/2022","Automatic","147 kW (200 hp)","1984ccm","Diesel","5.3 l/100km","4x4","Germany","https://carvago.com/car/52246745/volkswagen-tiguan-2-0-tdi-4motion-r-line-147-kw-dsg",2022-11-05
"Peugeot","208","White","9499","33300km","7/2019","Manual","75 kW (102 hp)","1499ccm","Diesel","3.5 l/100km","4x2","Italy","https://carvago.com/car/52395463/peugeot-208-100-active-75-kw",2022-11-05
"Dodge","RAM","Black","69499","308km","2/2022","Automatic","295 kW (401 hp)","5654ccm","LPG","4x4",NA,"Netherlands","https://carvago.com/car/52172049/dodge-ram-295-kw",2022-11-05
"Dodge","RAM","Black","40849","34200km","2/2020","Automatic","295 kW (401 hp)","5700ccm","Petrol","4x4",NA,"Germany","https://carvago.com/car/48031646/dodge-ram-295-kw",2022-11-05
"GMC","Sierra","Brown","41899","98299km","4/2018","Automatic","266 kW (362 hp)","5326ccm","LPG","4x4",NA,"Netherlands","https://carvago.com/car/52569601/gmc-sierra-1500-5-3-v8-4x4-266-kw",2022-11-05
"Dodge","RAM","Black","51249","16433km","6/2021","Automatic","296 kW (402 hp)","5654ccm","LPG","12.8 l/100km","4x4","Netherlands","https://carvago.com/car/52038662/dodge-ram-296-kw",2022-11-05
"Opel","Insignia CT","Silver","8799","140795km","6/2014","Manual","120 kW (163 hp)","1956ccm","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/52586029/opel-insignia-ct-2-0-cdti-4x4-120-kw",2022-11-05
"BMW","120","Black","34499","18000km","5/2021","Automatic","140 kW (190 hp)","1995ccm","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50998226/bmw-120-140-kw",2022-11-05
"DFSK","Seres 3","Red","33599","4500km","4/2022","Manual","120 kW (163 hp)",NA,"Electric","18 kWh/100km","4x2","Germany","https://carvago.com/car/50746335/dfsk-seres-120-kw",2022-11-05
"Mercedes-Benz","E 63 AMG","Brown","52299","35000km","5/2015","Automatic","430 kW (585 hp)","5461ccm","Petrol","10.5 l/100km","4x4","Germany","https://carvago.com/car/34668213/mercedes-benz-e-63-amg-e-t-s-4matic-mct-430-kw",2022-11-05
"Audi","A6","Black","37349","50352km","5/2019","Automatic","170 kW (231 hp)","2967ccm","Diesel","5.8 l/100km","4x4","Germany","https://carvago.com/car/51933584/audi-a6-avant-45-tdi-quattro-170-kw",2022-11-05
"BMW","220","Grey","22749","31900km","8/2019","Automatic","140 kW (190 hp)","1995ccm","Diesel","4.4 l/100km","4x2","Germany","https://carvago.com/car/52412955/bmw-220-140-kw",2022-11-05
"DS Automobiles","DS7 Crossback","Black","47099","18301km","3/2021","Automatic","221 kW (300 hp)","1600ccm","Electric","4x4",NA,"Spain","https://carvago.com/car/51161646/ds-automobiles-ds7-crossback-so-chic-221-kw",2022-11-05
"Volkswagen","Golf","Grey","16299","60000km","2/2019","Automatic","110 kW (150 hp)","1968ccm","Diesel","5 l/100km","4x2","Germany","https://carvago.com/car/52583931/volkswagen-golf-variant-2-0-tdi-highline-110-kw-dsg",2022-11-05
"Citroen","C3","Grey","3499","55571km","11/2009","Manual","54 kW (73 hp)","1360ccm","Petrol","6 l/100km","4x2","Germany","https://carvago.com/car/52144226/citroen-c3-1-4-54-kw",2022-11-05
